log_downloads,maintainer_count,age_days,days_since_update,vuln_count,malware_reports,verified_flags,has_install_script,install_script_kb,has_preinstall,has_postinstall,maintainer_change_count,maintainer_velocity,domain_age_days,executable_binary_count,network_code_files,log_total_files,entropy_max_file,dependency_delta,log_version_count,days_between_versions,log_stars,log_forks,namespace_age_days,download_star_anomaly,label
18.199810,2.000000,6108.738437,195.298443,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.806662,205.567358,0.000000,0.000000,6108.738437,0.000000,0.000000
3.891820,1.000000,1722.942792,1396.875329,0.000000,1.000000,0.000000,1.000000,0.018555,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,1722.942792,0.000000,1.000000
18.264132,1.000000,3031.560932,5.515030,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.060443,37.688868,0.000000,0.000000,3031.560932,0.000000,0.000000
16.693584,1.000000,5675.959591,397.428210,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.850148,298.955985,0.000000,0.000000,5675.959591,0.000000,0.000000
20.350443,4.000000,5207.398219,60.984316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.159055,137.788665,0.000000,0.000000,5207.398219,0.000000,0.000000
15.152708,1.000000,5048.101116,127.626991,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.433987,258.290739,0.000000,0.000000,5048.101116,0.000000,0.000000
17.629373,1.000000,6158.303000,62.312310,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.411646,15.882412,0.000000,0.000000,6158.303000,0.000000,0.000000
20.712360,2.000000,3934.897500,15.080617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.880533,156.724545,0.000000,0.000000,3934.897500,0.000000,0.000000
16.171493,1.000000,4009.028633,347.501626,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.988984,170.179551,0.000000,0.000000,4009.028633,0.000000,0.000000
19.355882,1.000000,5221.537741,3.016371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.955827,10.671213,0.000000,0.000000,5221.537741,0.000000,0.000000
18.221338,2.000000,5536.042692,16.349162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.025352,339.490568,0.000000,0.000000,5536.042692,0.000000,0.000000
19.788426,1.000000,4283.603469,1361.804135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.890372,324.500487,0.000000,0.000000,4283.603469,0.000000,0.000000
19.739681,1.000000,2309.172617,16.112801,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.327876,33.282357,0.000000,0.000000,2309.172617,0.000000,0.000000
4.795791,1.000000,400.785709,400.785684,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693147,30.000000,0.000000,0.000000,400.785709,0.000000,1.000000
19.486370,1.000000,2646.494059,6.074409,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.659482,1.337643,0.000000,0.000000,2646.494059,0.000000,0.000000
18.398392,1.000000,1178.735364,151.988957,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.944439,91.975396,0.000000,0.000000,1178.735364,0.000000,0.000000
17.329828,2.000000,4732.764498,3.393531,0.000000,0.000000,0.000000,1.000000,0.015625,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.894670,6.484227,0.000000,0.000000,4732.764498,0.000000,0.000000
19.415573,1.000000,4588.001212,7.274006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.401197,365.000000,0.000000,0.000000,4588.001212,0.000000,0.000000
